GENE_ID	CONDITION_ID
1000	27064
10007	25441|25625|26027|27698|29013|29025|29543|29544
10008	30281
10011	30475
1002	28394
10024	29098
10033	27590|29116
10037	26055
10048	28984
1005	28328
10057	25659|27306|27307
10058	25880|30201
10065	29317|30280
10074	30512|30823
1009	24843|25010|25088|25654|25731|25961|26295|26420|26421|27985|29119|29180|30021|30276|31982
10091	31646
10093	29585|30504
10096	27172
10103	25187|26510|29456
10108	27953
10110	31270
10111	25591
10112	26321
10118	29773
1012	31615
10138	31392
1014	29648
10149	31268|31269
10152	26288|29263
1016	28307
10162	25304|29375
10164	26011
10172	25823
10178	30237
1018	28182
10183	29208
10188	31757
10190	25472
10200	24939|26456|29745
10209	30047|31941
10212	31011
1022	28512
10229	29213
10237	32260
1024	29979|31206
10240	27110
10244	25087
10245	26157
10247	29540
10251	25890|27560|31951
10256	31446
10257	31839
1026	31975
10260	31632
10266	30044
10273	30979
10276	29847
1028	27342
10289	25118
10290	25048|29570
10295	25431|29956|31028
10303	31595
10308	29199
10310	27380
10312	25386|27825|27929
10319	25304|27097
10325	25553|25776|28934|29901|31819
10326	29530
1033	31492
1034	31710
10340	31771|31772
10342	25989
10346	31378
10348	28049|30953
10353	26302
1036	30127
10360	31069
10364	31966
10365	29363
10369	25913
10381	30645|31851
10382	30899
10389	30678
1040	27174
10400	25529|27325
10401	31768
10402	29931
10417	31114
1042	25180
10423	29229
10428	26908
10429	25493|30016|30741
10432	31025
10433	32199
10434	31577
10435	30236
10439	31160
10443	31505
10446	30227
10453	27426
10455	25029|25032
10457	27720
10479	30091|31841
10483	32220
10488	31217
1049	30969
10491	25515|26262|26263|29201
10493	27458
10500	31053
10504	31655
10507	25181|27677
10525	27523
10526	29387
1053	27285|29683|30889
10530	27519|27602
10532	25226
10534	29221|29308
10535	31995
1054	31974
10544	25723
10547	27519|27602
10548	28814
10549	26055|29631
10562	31499
10569	28984
10577	29847|30461
10578	30323
10581	28980|30865|31199|31377
1059	25602
10591	31386
10592	29156
10593	30110
10598	31074|31076
106	31203
10600	26321|31638
10607	31164
10610	30847
10614	30134
10621	25787
10622	31700
10624	30675
10628	26253
10632	29602
10646	25594|25680|27888|30177
10647	25376|26014|26015|26016|26027|27038|27682
10649	27743
10653	30704
10654	25088
10655	29952
10658	31252|31253
10659	31185
10660	25304
10662	27273
10669	31260
10679	24896|25642|26459|28922
1068	29538
10683	31922
10691	27822
10697	30941
10698	30998
10699	32117
10705	27437|29762|31100
10707	29731
10708	26820|26870|29487|30053|30653|31765
10709	26949|29155
1071	30090|32072
1072	31151|31168
10722	25609|26658|29185
10726	31844
10727	27126
10731	31066|31067
10733	28839|29401
10736	27536|32011
10741	32024
10745	31481
10746	27132
1075	27010
10750	28247|28451
10756	28291
10759	28125
10760	28290|28316
10767	28204|28421|28503
10771	31062
10773	29500
10775	26046|30846|32058
10776	31204
10778	28251
10789	28343
1079	26317|32044
10795	28075
10797	28019|29137|29796
10798	30052
108	28153
10806	27663
10807	29045
10808	31038
10809	25266|25709|25711|25725|26952|28964|29101
1081	25731|26273
10812	30835|30836
10821	30335
10830	30628|31759
10838	29945|30862
10841	26321
10858	25137|25387
10865	26819
10867	28546
10870	26488|29398
10871	26427
10872	28171|28172
10876	29846
10877	25586|25821|25950|26102|26103|26729
10879	24953
10889	31232
10897	26876
10901	29869
10908	31937
10909	31303
10913	30306
10915	26699|31914
10925	31153
10929	30211
10938	28701|29950|32091
10939	25304|30406|30877
10940	30926
10943	30145
10944	30740
10949	31893
10950	27730
10958	24861|25365|25809|26365|29214|29650|30955|32150
10971	30902
10976	30282|32239
1098	31061
10982	27786
10984	31418
10985	30511
1099	31825
10997	27634|29537
11	28517
110	26426|27996
1100	31582
11001	32256
11004	26644|29823
11005	28936|29578
11007	27484
11009	27187|28949|29154|29913
11016	31596
11018	32241
11019	31847
1102	30759
11023	30543
1104	27568
11054	25134
11055	29873|32216
11057	29807
11068	28984
11075	30123
11077	24908|27312
11083	31552
11091	27683
11095	25325|29077
11097	25665|26583|26731|29457|30929
11099	30824
1110	29174
11103	26193|27795|30478
11114	30993
11115	31233
1112	25806
1113	32080
11139	30384
11140	30831
11141	30773
11145	32078
11148	31529|31892
1116	27782
11163	25087
11172	31888
11173	29709
11177	31176
11185	32077
11190	26394|27838|29516|29860
11192	30485
11197	31987
11205	31605
11208	27514
11210	25916|26370|30404
11216	25341|29042|29329
11224	25230|29504
11226	28818
11230	27471
11235	31189
11236	30778
11238	25705
11245	25702
11248	30171
11255	25300
11256	31097
11269	30536
11271	27154
11275	27913
11278	29409
11280	28893
11283	29831
1129	28027
11299	27761
11300	29958
11303	31142|31947
11308	31738
11309	26647
11317	25073|25618|25668|28834|29536|29547
11321	31706
11323	30689
11328	31282
11329	27519|27602
11345	27055
1135	28355
11353	25234|27274|27893
1136	32159
11361	30087
11366	28983
11370	25793|26536|30200|30538
11371	31549
11372	27897|27920|28809|31725
11378	31736
11381	27942
11383	25088|25089|25419|25822|26038|31355
11385	30754
11386	28886
114	27968
11404	31660
11413	31218
11414	28062
11415	29477
11417	26946
11422	29996
11424	29787|31729
11426	28807
11428	31992
11429	31438
11430	26785
11433	28064
11434	30924
11439	27198
11444	29484|29847|30766
11447	31568|31571
11451	31984
11461	29730
11464	26193|26766|27795
11465	25667|26632|26723
11469	30085
11470	31244
11479	29078
11484	31467
11486	24835|25374|25375
1149	31821
11492	26823
11496	25678|31737
11498	30399
11499	26102|26729|30729
115	31749
1150	31683
11500	25088|29695
11502	32164
11509	29760
11512	32205
1152	31399
11521	31003
11523	30828|32047
1153	27921
11536	29786
11543	27807
11563	31903
11565	31506
11566	32223
1157	32110
11579	24894|25563|26637
11580	31435
11583	25304
11584	24923|28113|28155|28208|28255|28588
11587	25053|27877
11588	26184|28118|28242|28580|28599
1159	31741
11593	29003
11596	31515
11603	31894
11604	29167
11607	29465
1161	27908
11611	28814|29462
11615	30046
1162	32083
11626	28975|30592
11630	28814|28984
11631	25027|31327
11634	30598
11638	28104|28139
11640	28132
11641	29909
11643	25941|29173|29911
11645	30343|31098
11647	31112
11648	30610
11649	30292
1165	31935
11659	30293
11661	25426|26047|27336|29468|30816
11673	30971
11678	27220
11679	25651|28398
11681	25500
11688	29323
11689	27144|29055
1169	28230
11691	27969
11698	25602|29417
1170	28146|28194
11702	30241
11704	29691
11705	29367
11706	27157
11708	29113
11713	27723
1172	25087
11720	32142
11725	27544
11727	31234
11737	27036|32219
11742	29917
11751	27541
11754	28358
11755	26416|26886|29959|31804
1176	25776|30120
1178	31811|32169
11781	30149
11783	28748
1179	26598
11792	31907|31908
11794	30120
1180	27985
11806	29491
11807	29351
11809	27141|27142|27143|27539
11811	30051
11813	27427|27753
11833	27888
11835	30805
11837	26840
1184	26547|27042
11845	26861
11851	25872
11852	31115|32035
11854	28780|30299
11857	31651
1186	29269|30871
11862	26550
11864	26560|30858|31294
11867	31236
11873	25872
11875	31629
11884	32039
11889	30817
11891	28896|29396
119	25304|27294|27613|29361|30000
11904	28093
1191	28165|28228|28244|28245|28481
11921	30170
11922	27180|28038|29621
11924	29905
11925	25087
1193	30067
11935	29234|31013
11936	25624
11940	30317
11949	27767
1195	32171
11974	30466
11976	28537
11978	25304|27393|27752|29923|30036
11987	31779
1199	24879|24934|25359|29150|29211|29291
11991	28239
11998	28814
12001	30455
12002	27519
12021	27171
12022	27508
12023	31459
12028	26840|30311
12029	27875|27886
1203	28128
12034	28103|28220|28495|28541
12036	29486|31946
12038	31670
12040	25618
12048	25088
1205	27520|27602|29209|30687|30946
12053	27435|31990
12054	29273|31003
1206	29465|32157
12067	27163
12075	31348
12077	26612|31775
12078	24908|26612|31775
12079	26612|31775
12083	30326
12088	31546
12099	30105|31477
12104	26019|30133|30579
12107	31536
12110	31209
12112	27739
12114	30394
12115	32163|32166
1212	29019|29309
12122	31714
12126	25491|29793
12140	25786|25826|25882|26184|28027|28051|29292|29465|29612|30471
12141	30353
12143	31980
12144	25244|25509|27376|28680|29130|29397
12157	29206
12158	29253
1216	25304
12169	31408
12175	29779|30965
12177	31659
12180	30029
12182	27548|27551|27552
12183	27071
12188	30235
1219	26710
12193	28814|29847
12199	31520
12211	30505|30906
12216	29614|31205
12217	25026
1222	28980
12225	26992
12227	31867
12236	31210
1224	30076|31692
12240	31727
12243	30800
12246	31673
12249	30376
12259	27701
12261	32236
12266	28509
12268	30285
1227	25277|25390|31444
12271	25044
12279	31080
12308	27924|30785
12315	25673
12320	27912
12323	29992
12326	25788|30279
12329	28158
1233	25335
12336	27247
1234	25087
12342	26547|27042
12349	25664|29494
12362	29400
1237	25606
12372	26321|28703
12374	29815
12395	30691
12396	30691
12399	29670
1240	25257|27602|27750|29136
12400	30786|32007
12403	32186
12423	31463|31464|31465
1243	30795
12432	31473
12436	31697
12439	27826
12442	29679
12454	28360
1246	27087
12462	24867|27386
12466	28885|30156
12471	29460
12478	30486
12479	28721|31482
12493	30004|30752
12494	29033|29511
12497	31633
12498	28357
12505	31470
12507	30732
12509	25833|26025
12512	30547
12519	32174
1252	28988
12520	25677
12526	32151
12527	28678
12528	31896
12541	25529|27204|27325
12547	27572|29390
12551	24854|25261
12558	29936|30253
12560	26731
12578	32240
1258	25203|30733
12580	31082
12584	31442
12586	31310
12587	27457
12589	31351
12594	31569
12596	25965|26439|26902
12597	31173
12600	31229
12602	31171
12603	25441
12610	25525
12614	27519
12626	32086
12630	31656
12632	29871
12638	26746|31133
12641	29592
12644	26282|28941|29251|31452
12647	27187|28949|29154
1265	31280
12650	30184
12651	31324
12657	31814
12665	29349
12667	30266|31653
12668	31976|31977
12679	30069
12681	30456
12683	31326
12688	27756
1269	26635
12690	30867
12703	28833|30310
12704	25619|27266
1271	26321
12713	29990
12717	30510
12718	30011
12722	28984
12723	29496
12730	28094|30093|31430
12731	27164
12733	30890
12746	31644
12768	31249
12770	24896
12772	26699|27569
12783	27951|31462
12789	30573
1280	30070
12804	30623
12812	31230
12818	26944
12823	26901
12850	29718|32009
12859	25784
12860	25983|26729|29514|29984
12863	30997
1287	27347|29489
12875	30121
12879	30991
1288	29157
12880	31699
12888	32053
12890	30346
12902	26288|26433|27232|28982
12904	31681
12906	30083
1291	29216
12911	27506
12912	31358|31379
12914	30204
12919	27763
12926	29346
1293	28822
12930	28298|28410
12931	28762
12936	30968
12942	31933
12953	25902
12956	25595
12960	30637
12966	30582
12974	29830
12979	29075|32161
1298	25190|31774
12989	30115
12990	30845
12991	30058
12997	28734
130	32098
13001	26237|29785
13003	27699
13012	28807|30401
1302	26995
13032	30850
13039	27519
13048	27519
13059	25410|27060|30259|30736|31985
13060	30240
13064	25514|30551
13078	31172
1308	25088|25194|25879|28037|29834
13083	29340
13084	26944
13088	31886
13089	26795
1309	29620
13090	30550
13093	31547
13094	28863|29965
13109	30432|31101
1312	27119
13120	29108
13123	27703
13131	27315|32005
13138	30049
13141	30265
13161	30437
13162	31516
13166	30713
13170	26626|30040
13171	29384
13172	31973
13174	27135
13178	26428|27571
13185	30617
13189	25752|25842|25972|29571
13194	28980|30884|30950|31003
13207	31460
13208	30303
13209	27317
13210	29313
13219	26259|26732
1322	30529
13226	31875
13238	26975
13244	29023
13252	31023|31029
13258	26731|31761
13260	31587
13265	29584
13270	26886
13281	29303
13288	26433|28922|30709|31052
13290	30242
13297	31330
13298	30624
1330	30501
13309	30681
13317	30304|30719
13333	29153|29272|29791
13357	28341
1336	31553
13360	26321
13362	28797
13364	25391
13370	31763
13375	29392|29463|30521
13379	31732
13384	29981
13385	30349
13389	28980
1339	31584
13391	26649|31331
1340	31962
13407	31561
13414	26674
13417	30960
13421	27534
13422	31703
13423	28214
13425	32113
13426	28837
13436	32158
13438	26276
1344	25677|29847
13441	27676
13452	30611
13456	27830
13459	25304
1346	28222
13461	31455|31968
13472	31347
13476	29434
13478	25520|30693
1348	28117
13485	27015
13489	31641
13496	27046|28069|29966
13500	30026
13502	31396
13505	25437|26851
13509	28188|28332
13522	28424
13529	30765|32269
13537	28702|29927
13540	29556|30810
13548	28127
13549	30403|31707
13552	32125|32126
13555	25243|26522|27962|29355|29573|30203|31019
13566	26974
1357	24883|26620|29007|29435
13573	30735
13576	26167
1359	30260
13607	31735
13608	29459
13609	31658
13610	27855
13611	28569
13613	26067
13614	30340
13620	31192
13623	30267
13634	30439|31081
13644	30530
13649	24987|26416|26886|27033|31075|31078
1365	28311
13652	27604
13654	27657
1366	24849|25240|25703|26018|26479|30460|31519
13664	29143
13666	26896
13670	31604
13675	32130
13678	27216
13686	28137
13693	27779
13694	31346
13698	27385
13709	31991
1371	26508
13723	32133
13725	31585
13732	30667
13746	26356|26382|26390|26392|30138
13750	26038
13755	30297
13757	31965
13764	32090
13765	25087|26184|27685|29822
13766	25015|29765
1377	26738
13771	30535
13789	24985|25074|27962|28870|28872|29170|29171|29682|30874
13795	28478
13806	29249|31139
13810	30938
13811	26697
13812	26416|26438|26519|26886
13821	31489
13823	30146
13824	25204
13844	31370
13851	26652
13852	26804
13858	30721|30722|30723
13868	27618|29971|30447
13885	30302|31118
13894	26958
13898	31728
1390	30475|32173
13903	28326|28440|28507
13905	25944
13910	28180
13919	31611
1392	30407|31636
13920	27602
1393	28980
13935	31780
13937	28630|28631
13943	29488|30490
13948	25489|25841|26553|26556|27612|29761
1396	31643
13961	31698
13962	31639
13963	30081
13965	28453
13969	31854
13981	32195
13989	31838
14	26055|26766|26937|28057
14003	26608
14006	25792|26201|27157|27667
14020	26214
14022	31570
14025	28026
14027	26930|28087
14028	26038|26067|26780|28692|29527
14032	31005
1404	30600
14043	31649
14044	27601
14046	26131
14048	31923
14053	30666
14054	31509
14055	31668
14069	25037
14106	31188
14108	32131
14110	30893
14111	28199
14124	31422|31815
14125	27227
14128	25001|29307|30075
14134	25304
14135	25328|27466|28227
14137	31443
14140	28318
14141	30612
14145	29503
14150	30475
14152	31610
14155	25405|25406|25409|25411|26245|28848|29843
14158	28682
14160	30136
14165	25431|31020|31858
14168	30731
1417	30379
14171	29518
14174	31301|31302
14191	29666
14192	25529|27325
14193	29178
14198	25073|29536|29800
14206	31513
14207	25218
14217	29603
14220	32002
14223	30490
14229	24845|25943|29465
14242	31687
14244	29638|30475
14246	29595
1425	32168
14250	24948|29982
14252	30692
14260	31592
14261	26041|30459
14264	25294|25405|25406|25409|25924|28848
14266	28048|29308
14269	26110|28730|28867
14271	28055
14273	30055
14288	29766
14291	26663
14293	29128|29613
14296	24989
14297	25762
143	28047|28050|29056
14300	24883|24884|26545|31085
14307	29582
1431	31754
14323	30491
14325	25024|27410
14327	29689
14328	25427
14330	31419
14331	25088|25431|25865
14338	25304|29016|29361|30038|31915
14339	26156|26247|27888|29531|30193|31119
1434	28202
14345	27842
14346	31315
14347	29000|29680|31575
14350	27576
14356	31828
1436	29151
14366	27734
14367	31424
14373	32227
14374	30474
14376	30131
14377	27096
14378	29895
14387	26782
1439	31287
14394	29636
1441	25913|29380|31472
14414	28309
14419	25920|27594
14426	29714
14427	29117
1443	29161
14430	28365
14431	31373
14432	28389|28391
14433	31304
14449	25088
14476	28406
14479	29660
14480	25072
14486	31863
14490	25559|29191|30856
14497	26642
14500	31494
14505	28007
14509	25030
14515	27780
14516	28280
14529	28984
14539	30844
14545	31134
14547	29447
14549	25430|26952|30373
14552	28544
14558	25649
14574	27638|31963
14575	31634
14578	28866
1458	29207
14583	30904
1459	28918
14599	28237
146	30868
14600	29733
1462	28339
14623	25430
14630	31030|31284
14631	30475|31565
14635	30830
14648	31566|31777
1465	25475
14651	29928
14656	29986|29987
14661	25132|25644|27591
14668	30527
14676	28849
14677	32229
1468	30241
14683	28190|28206
14686	30771
14692	28749
14704	25304
1471	26110|28730|29576|30718|30744
14717	30010
1472	25207
14725	28601
14727	28521
14739	31087
14748	32184|32185
14751	30226|32193
14753	25570|30855
14754	29587
14758	29370|29575
14765	27058|29437
14766	24886
14768	30092|30564
14778	30567
14779	31335
14790	25945|25946|26546|28900|29571
14795	31382
14796	27976
14799	28425
1480	26355|30747
14809	27547|27804
14813	24870
14822	31016|31128|32221
14823	24903|27059|27061
14830	28111|28112|28151|28170|28420|28443|28502|28561|28618
14831	26439
1484	31747|31748
14843	28325
1485	25563|26637
14859	25089
14861	25887|30983|31132
14862	31885
14863	29867
14866	31672
14867	25088|32156
1487	27695
14883	26259
14887	30636
14889	31818
1489	30665|31835
14892	32160
14895	25088|29272
14897	30362
14899	26754
149	26944|27602
14912	26796
14916	25599
14919	31126
1493	30620
14934	32068
14939	26693
1494	26091|26443|29027
14942	26837
14948	25958|26617
1495	29242
14950	30907
14951	28334
14955	29915
1496	32251|32252
14960	25304|26692|28984|29089|30577|31551
14961	31836
14962	28055|31150
14963	31840
14964	30558|30559|30912|30913
14977	30631
14986	30575
14988	27468|30033|30185|30186
14991	29983
14994	30832
1500	26982
15000	28210
15008	27505
15015	27150
15022	30350
15024	26947
15031	29473
15040	31092|31263
15048	26570
15057	25021
15059	29552|30073
15060	31788
15065	31363
15083	29580
15094	27481
1510	25688|26770|27346
15111	31524
15115	28785|30885
15118	28277
15121	29118
15126	31401|31969
15133	27244
15139	28969
15144	30034
15150	25821|27625
15162	24968|28989|29827
15172	26309|30727
15173	30751
15176	29914|30821
15183	27310
15184	30041
15190	31184
15194	31000
15198	25098|28847|29252
15203	28039
15205	31285|31874|31876
15207	26983
15210	30412
15211	28150
15212	31221
15213	25794|27427|28999|29187
15215	27519|28644|28662|28663
15217	29960|29961|30117|30190|31765
15218	26944
15225	28643|28662
15229	26675
15230	26434|27091|28820|28922|31051
15243	28650|28662
15249	27519|27602|28662|28663
15253	32040
15257	31369
15258	25088|26944
15259	30534
15260	29247
15262	28464
15265	29955
15267	32023
1527	28303
15274	29734|30542|30632
15275	25273|26002|26735|29393|32141
15278	27519|27602
15284	31603
15290	32192
15300	28644|28662|28663
15302	27519|28650|28662|28663
15308	27602|28646|28649|28658|28662|28667
15313	28408|28418|28462
